Genus;Epithet;Author;Whole
Cynanchum;beatricis;Morillo        ;Cynanchum beatricis Morillo        
Scyphostelma;beckii;(Morillo) Liede & Meve     ;Scyphostelma beckii (Morillo) Liede & Meve     
Cynanchum;bernardii;Morillo        ;Cynanchum bernardii Morillo        
Scyphostelma;bifidum;(Liede & Meve) Liede & Meve   ;Scyphostelma bifidum (Liede & Meve) Liede & Meve   
Cynanchum;blandum;(Decne.) Sundell       ;Cynanchum blandum (Decne.) Sundell       
Metastelma;burchellii;(Hook. & Arn.) Rapini     ;Metastelma burchellii (Hook. & Arn.) Rapini     
Scyphostelma;brachyphyllum;(K.Schum.) Liede & Meve     ;Scyphostelma brachyphyllum (K.Schum.) Liede & Meve     
Cynanchum;bricenoi;Morillo        ;Cynanchum bricenoi Morillo        
Jobinia;campii;(Morillo) W.D.Stevens       ;Jobinia campii (Morillo) W.D.Stevens       
Orthosia;cardozoi;(Morillo) Liede & Meve     ;Orthosia cardozoi (Morillo) Liede & Meve     
Scyphostelma;carmenaemiliae;(Morillo) Liede & Meve     ;Scyphostelma carmenaemiliae (Morillo) Liede & Meve     
Cynanchum;caudigerum;R.W.Holm        ;Cynanchum caudigerum R.W.Holm        
Cynanchum;chanchanense;Morillo        ;Cynanchum chanchanense Morillo        
Scyphostelma;chimboracense;(Morillo) Liede & Meve     ;Scyphostelma chimboracense (Morillo) Liede & Meve     
Scyphostelma;confusum;(R.W.Holm) Liede & Meve     ;Scyphostelma confusum (R.W.Holm) Liede & Meve     
Cynanchum;roulinioides;(E.Fourn.) Rapini       ;Cynanchum roulinioides (E.Fourn.) Rapini       
Cynanchum;cristalinense;Morillo        ;Cynanchum cristalinense Morillo        
Cynanchum;cuatrecasasii;Morillo        ;Cynanchum cuatrecasasii Morillo        
Scyphostelma;ecuadorense;(Schltr.) Liede & Meve     ;Scyphostelma ecuadorense (Schltr.) Liede & Meve     
Cynanchum;diazmirandae;Morillo        ;Cynanchum diazmirandae Morillo        
Orthosia;ellemanniae;(Morillo) Liede & Meve     ;Orthosia ellemanniae (Morillo) Liede & Meve     
Cynanchum;erikseniae;Morillo        ;Cynanchum erikseniae Morillo        
Cynanchum;fasciculiflorum;Morillo        ;Cynanchum fasciculiflorum Morillo        
Cynanchum;fernandezii;Morillo        ;Cynanchum fernandezii Morillo        
